Year,Subject,Topic,No of questions
2016,Chemistry,Carbon,3
2016,Chemistry,Structure of Atom,4
2016,Chemistry,"Acid,Bases & Salts",1
2016,Chemistry,Metals & Non Metals,3
2016,Chemistry,Atoms & Molecules,2
2016,Chemistry,Hydrogen,1
2016,Physics,Light,3
2016,Physics,Heat,2
2016,Physics,Motion,4
2016,Physics,Electricity,1
2016,Physics,Newton's Laws of motion ( NLM),5
2016,Physics,Magnetism,3
2016,Physics,Gravitation,2
2016,Physics,Fluid,1
2016,Physics,Rain Thunder & Lightening,1
2016,Physics,Vector,2
2016,Physics,Sound,1
2016,Biology,Trabsoirtatuib,1
2016,Biology,Diseases,1
2016,Biology,Nutrition,2
2016,Biology,Ecology,2
2016,Biology,Microorganism,3
2016,Biology,Tissue,4
2016,Biology,Diversity,2
2016,Geography,Latitude & Longitude,1
2016,Geography,Interior of the earth,3
2016,Geography,Atmosphere,1
2016,Geography,Climate,1
2016,Geography,Physical Divisions of India,4
2016,Geography,Landforms of Earth,4
2016,Geography,Minerals & Power Resources,2
2016,Geography,Natural Vegetation & wild Life,2
2016,Geography,Population,2
2016,Geography,Life Lines of national Economy,1
2016,Geography,Resources types & developing,2
2016,Geography,Manufacturing Industries,3
2016,History,India during British rule &Nationalism in India,4
2016,History,Regional Empires,1
2016,History,Delhi Sultanate,2
2016,History,Mughal Empire,1
2016,History,Social & Religious Reforms,3
2016,Economics,Economics Five Year Plans,2
2016,Economics,International Trade,2
2016,Economics,Sectors of India Economy,1
2016,Civics,Constitution,4
2016,Civics,International Organizations,2
2016,Civics,Union Executive & Legislature,2
2016,English,Synonyms,2
2016,English,Antonym,5
2015,English,Spotting Errors,8
2016,English,Ordering of Words in a sentence,6
2016,English,Sentence Improvement,11
2016,English,Fillers,12
2017,Chemistry,Carbon,2
2017,Chemistry,Structure of Atom,4
2017,Chemistry,"Acid,Bases & Salts",2
2017,Chemistry,Metals & Non Metals,4
2017,Chemistry,Atoms & Molecules,2
2017,Chemistry,Hydrogen,4
2017,Physics,Light,2
2017,Physics,Heat,3
2017,Physics,Motion,4
2017,Physics,Electricity,2
2017,Physics,Newton's Laws of motion ( NLM),2
2017,Physics,Magnetism,4
2017,Physics,Gravitation,2
2017,Physics,Fluid,1
2017,Physics,Rain Thunder & Lightening,3
2017,Physics,Vector,2
2017,Physics,Sound,1
2017,Biology,Trabsoirtatuib,2
2017,Biology,Diseases,3
2017,Biology,Nutrition,4
2017,Biology,Ecology,2
2017,Biology,Microorganism,5
2017,Biology,Tissue,2
2017,Biology,Diversity,3
2017,Geography,Latitude & Longitude,2
2017,Geography,Interior of the earth,3
2017,Geography,Atmosphere,3
2017,Geography,Climate,4
2017,Geography,Physical Divisions of India,1
