Year,Subject,Topic,No of questions
2015,Physics,Capacitance,1
2015,Physics,Alternating Current,1
2015,Physics,Current Electricity,3
2015,Physics,Centre of Mass,1
2015,Physics,Electromagnetic Induction,1
2015,Physics,Electromagnetic Field & Force,2
2015,Physics,Fluid Mechanics,1
2015,Physics,Electrostatics,1
2015,Physics,Geometrical Optics,2
2015,Physics,Friction,1
2015,Physics,Modern Physics,5
2015,Physics,Gravitation,1
2015,Physics,Properties of Matter,1
2015,Physics,Newton's Laws of Motion,1
2015,Physics,Relative Motion,1
2015,Physics,Rectilinear Motion,1
2015,Physics,Semiconductor Devices,2
2015,Physics,Rigid Body Dynamics,3
2015,Physics,Sound Waves,1
2015,Physics,Simple Harmonic Motion(SHM),2
2015,Physics,Units & Dimensions,1
2015,Physics,Thermodynamics,6
2015,Physics,"Work,Power & Energy",4
2015,Physics,Wave Optics,2
2015,Chemistry,P and D Block,4
2015,Chemistry,Chemical Bonding,4
2015,Chemistry,Periodic Table,1
2015,Chemistry,Metallurgy,1
2015,Chemistry,S Block,2
2015,Chemistry,Coordination Compound,2
2015,Chemistry,Carbonyl Compounds,2
2015,Chemistry,General Organic Chemistry,5
2015,Chemistry,Reaction Mechanism,3
2015,Chemistry,Aromatic Compounds,1
2015,Chemistry,Chemistry in everyday life,1
2015,Chemistry,Polymers,1
2015,Chemistry,Hydrocarbons,2
2015,Chemistry,Basic Principles & Techniques,1
2015,Chemistry,Chemical Equilibrium,1
2015,Chemistry,Atomic Structure,3
2015,Chemistry,Ionic Equilibrium,1
2015,Chemistry,Chemical Kinetics,2
2015,Chemistry,Solid State,1
2015,Chemistry,Mole Concept,1
2015,Chemistry,Electrochemistry,1
2015,Chemistry,Solution & Colligative Properties,3
2015,Chemistry,Thermodynamics,1
2015,Chemistry,Surface Chemistry,1
2015,Biology,Application Biology,5
2015,Biology,Animal Kingdom,4
2015,Biology,Body Fluids and Circulation,3
2015,Biology,Biomolecules,2
2015,Biology,Cell Biology,8
2015,Biology,Breathing and Exchange of Gases,1
2015,Biology,Digestion and Absorption,2
2015,Biology,Chemical control,1
2015,Biology,Evolution,3
2015,Biology,Ecology,13
2015,Biology,Genetics,7
2015,Biology,Osmoregulation and Excretion,2
2015,Biology,Human Reproduction,3
2015,Biology,Disease and Human Health,4
2015,Biology,Coordination and Neural Control,2
2015,Biology,Movement and Locomotion,2
2015,Biology,Plant Diversity,6
2015,Biology,Plant Anatomy,2
2015,Biology,Plant Morphology,5
2015,Biology,Reproduction in Flowering Plants ,4
2015,Biology,Plant Physiology,7
2015,Biology,Structural Organization in Animals,1
2015,Biology,Reproductive Health,2
2016,Physics,Capacitance,1
2016,Physics,Alternating Current,2
2016,Physics,Current Electricity,2
2016,Physics,Centre of Mass,0
2016,Physics,Electromagnetic Induction,4
2016,Physics,Electromagnetic Field & Force,2
2016,Physics,Fluid Mechanics,1
2016,Physics,Electrostatics,2
2016,Physics,Geometrical Optics,3
2016,Physics,Friction,0
2016,Physics,Modern Physics,3
2016,Physics,Gravitation,2
2016,Physics,Properties of Matter,0
2016,Physics,Newton's Laws of Motion,0
2016,Physics,Relative Motion,0
2016,Physics,Rectilinear Motion,0
2016,Physics,Semiconductor Devices,3
2016,Physics,Rigid Body Dynamics,3
2016,Physics,Sound Waves,2
2016,Physics,Simple Harmonic Motion(SHM),1
2016,Physics,Units & Dimensions,1
2016,Physics,Thermodynamics,3
2016,Physics,"Work,Power & Energy",0
2016,Physics,Wave Optics,2
2016,Chemistry,P and D Block,2
2016,Chemistry,Chemical Bonding,9
2016,Chemistry,Periodic Table,0
2016,Chemistry,Metallurgy,1
2016,Chemistry,S Block,1
2016,Chemistry,Coordination Compound,2
2016,Chemistry,Carbonyl Compounds,1
2016,Chemistry,General Organic Chemistry,4
2016,Chemistry,Reaction Mechanism,0
2016,Chemistry,Aromatic Compounds,2
2016,Chemistry,Chemistry in everyday life,2
2016,Chemistry,Polymers,1
2016,Chemistry,Hydrocarbons,1
2016,Chemistry,Basic Principles & Techniques,0
2016,Chemistry,Chemical Equilibrium,9
2016,Chemistry,Atomic Structure,2
2016,Chemistry,Ionic Equilibrium,2
2016,Chemistry,Chemical Kinetics,1
2016,Chemistry,Solid State,1
2016,Chemistry,Mole Concept,1
2016,Chemistry,Electrochemistry,3
2016,Chemistry,Solution & Colligative Properties,3
2016,Chemistry,Thermodynamics,2
2016,Chemistry,Surface Chemistry,1
2016,Biology,Application Biology,1
2016,Biology,Animal Kingdom,4
2016,Biology,Body Fluids and Circulation,2
2016,Biology,Biomolecules,3
2016,Biology,Cell Biology,3
